Tên thực phẩm,Nâng lượng (kcal),Nước (g),Đạm (g),Béo (g),Bột (g),Xơ(g)
Gân chân bò,124,69.5,30.2,0.3,0,0
Gan gà,111,73.9,18.2,3.4,2,0
Gan heo,116,72.8,18.8,3.6,2,0
Gan vịt,122,75.2,17.1,4.7,2.8,0
Giò bò,357,48.7,13.8,33.5,0,0
Giò lụa,136,72,21.5,5.5,0,0
Giò thủ,553,29.7,16,54.3,0,0
Huyết bò,75,81.3,18,0.2,0.4,0
Huyết heo luộc,44,89.2,10.7,0.1,0,0
Huyết heo sống,25,94,5.7,0.1,0.2,0
Lạp xưởng,585,18.6,20.8,55,1.7,0
Lòng heo (ruột già),167,77.1,6.9,15.1,0.8,0
Lưỡi bò,164,73.8,13.6,12.1,0.2,0
Lưỡi heo,178,71.5,14.2,12.8,1.4,0
Mề gà,99,76.6,21.3,1.3,0.6,0
Nem chua,137,70.2,21.7,3.7,4.3,0
Nhộng,111,79.6,13,6.5,0,0
Óc bò,124,80.7,9,9.5,0.5,0
Óc heo,123,80.8,9,9.5,0.4,0
Patê,326,49.1,10.8,24.6,15.4,0
Phèo heo,44,90.6,7.2,1.3,0.8,0
Sườn heo bỏ xương,187,68,17.9,12.8,0,0
Tai heo,121,74.9,21,4.1,0,0
Thịt bê nạc,85,79.3,20,0.5,0,0
Thịt bò,118,74.4,21,3.8,0,0
Thịt bò khô,239,41.7,51,1.6,5.2,0
Thịt dê nạc,122,74.9,20.7,4.3,0,0
Thịt gà ta,199,65.4,20.3,13.1,0,0
Thịt gà tây,218,63.2,20.1,15.3,0,0
Thịt heo ba chỉ,260,60.7,16.5,21.5,0,0
Thịt heo mỡ,394,48,14.5,37.3,0,0
Thịt heo nạc,139,73.8,19,7,0,0
Thịt lơn nạc,139,72.8,19,7,0,0
Thịt mông chó,338,52.9,16,30.4,0,0
Thịt ngỗng,409,45.9,14,39.2,0,0
Thịt thỏ,158,70.2,21.5,8,0,0
Thịt vai chó,230,64.3,18,17.6,0,0
Thịt vịt,267,59.3,17.8,21.8,0,0
Tim bò,89,81.2,15,3,0.6,0
Tim gà,114,78.3,16,5.5,0,0
Tim heo,89,81.3,15.1,3.2,0,0
Xúc xích,535,25.3,27.2,47.4,0,0
Ba khía muối,83,77.8,14.2,2.9,0,0
Bánh phổng tôm,676,4.9,1.6,59.2,34.1,0
Cá bống,70,83.2,15.8,0.8,0,0
Cá chép,96,78.4,16,3.6,0,0
Cá đối,108,77,19.5,3.3,0,0
Cá giếc,87,78.7,17.7,1.8,0,0
Cá hổi,136,72.5,22,5.3,0,0
Cá khô,208,52.6,43.3,3.9,0,0
Cá lóc,97,78.8,18.2,2.7,0,0
Cá mè,144,75.1,15.4,9.1,0,0
Cá mỡ,151,72.5,16.8,9.3,0,0
Cá mòi,124,76.2,17.5,6,0,0
Cá nạc,80,79.8,17.5,1.1,0,0
Cá ngừ,87,77.9,21,0.3,0,0
Cá nục,111,76.3,20.2,3.3,0,0
Cá phèn,104,79.5,15.9,4.5,0,0
Cá quả (cá lóc),97,77.7,18.2,2.7,0,0
Cá rô đồng,126,74,19.1,5.5,0,0
Cá rô phí,100,76.6,19.7,2.3,0,0
Cá thu,166,69.5,18.2,10.3,0,0
Cá trắm cỏ,91,79.2,17,2.6,0,0
Cá trê,173,71.4,16.5,11.9,0,0
Cá trôi,127,74.1,18.8,5.7,0,0
Chà bông cá lóc,312,26.5,65.7,4.1,3,0
Cua biển,103,73.9,17.5,0.6,7,0
Cua đồng,87,68.9,12.3,3.3,2,0
Ghẹ,54,87.2,11.9,0.7,0,0
Hải sâm,90,77.9,21.5,0.3,0.2,0
Hến,45,88.6,4.5,0.7,5.1,0
Lươn,94,77.2,20,1.5,0,0
Mực khô,291,32.6,60.1,4.5,2.5,0
Mực tươi,73,81,16.3,0.9,0,0
Ốc bươu,84,78.5,11.1,0.7,8.3,0
Ốc nhồi,84,76,11.9,0.7,7.6,0
Ốc vặn,72,77.6,12.2,0.7,4.3,0
Sò,51,87.1,8.8,0.4,3,0
Tép gạo,58,83.4,11.7,1.2,0,0
Tép khô,269,20.4,59.8,3,0.7,0
Tôm biển,82,80.3,17.6,0.9,0.9,0
Tôm đồng,90,74.7,18.4,1.8,0,0
Tôm khô,347,11.4,75.6,3.8,2.5,0
Trai,38,89.1,4.6,1.1,2.5,0
Lòng đỏ trứng gà,327,51.3,13.6,29.8,1,0
Lòng đỏ trứng vịt,368,44.3,14.5,32.3,4.8,0
Lòng trắng trứnggà,46,88.2,10.3,0.1,1,0
Lòng trắng trứngvịt,50,87.6,11.5,0.1,0.8,0
Trứng gà,166,70.8,14.8,11.6,0.5,0
Trứng vịt,184,68.7,13,14.2,1,0
Trứng vịt lộn,182,66.1,13.6,12.4,4,0
